t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
7.3252,3,1,0,1,201.00,129.67,capture,197.49,161.25,31.78,1,179.653,4.228,178.929,-13.11,25.82,146.74,-13.03,-3.78,171.86,53.946,55.768,-18.3815,-3.0259,197.49,161.25,-18.1850,-2.8127,,,0.24186,0
7.4271,3,1,0,1,201.00,129.67,capture,205.11,155.80,26.46,1,179.069,4.177,179.959,-13.17,25.83,146.60,-13.16,-3.72,171.53,54.736,55.287,-17.8843,-2.0879,205.11,155.80,-18.0137,-2.4350,,,0.25034,0
7.5277,3,1,0,1,201.00,129.67,capture,208.13,119.49,12.43,1,179.816,4.164,179.895,-13.25,25.81,146.56,-13.32,-3.77,171.65,54.865,55.012,-16.5931,-0.9928,208.13,119.49,-17.0230,-1.4463,,,0.26140,0
7.6319,3,1,0,1,201.00,129.67,capture,213.16,101.54,30.64,1,179.609,4.183,179.919,-13.17,25.70,146.39,-13.08,-3.79,171.54,54.805,55.408,-15.2146,-2.6968,213.16,101.54,-15.6326,-2.0665,,,0.26000,0
7.7306,3,1,0,1,201.00,129.67,capture,222.99,97.46,39.00,1,179.635,4.307,179.277,-13.22,25.78,146.63,-13.16,-3.64,171.76,54.816,55.144,-15.0270,-1.0131,222.99,97.46,-15.1890,-1.4319,,,0.22884,0
7.8300,3,1,0,1,201.00,129.67,capture,229.63,73.73,62.84,1,-179.668,4.234,179.437,-13.22,25.74,146.54,-13.22,-3.79,171.67,54.784,54.372,-14.8760,-1.8200,229.63,73.73,-14.9723,-1.6157,,,0.22015,0
7.9326,3,1,0,1,201.00,129.67,capture,221.36,96.73,38.72,1,179.574,4.173,179.500,-13.23,25.73,146.22,-13.27,-3.80,171.02,55.303,56.461,-15.2672,-1.3792,221.36,96.73,-15.1474,-1.4934,,,0.22662,0
8.0299,3,1,0,1,201.00,129.67,capture,220.96,97.46,37.89,1,179.119,4.180,179.419,-13.25,25.78,146.45,-13.22,-3.84,171.58,54.268,54.606,-15.6859,-1.2720,220.96,97.46,-15.3830,-1.3777,,,0.23912,0
8.1294,3,1,0,1,201.00,129.67,capture,215.89,102.26,31.19,1,179.656,4.324,179.795,-13.17,25.76,146.38,-13.22,-3.70,171.45,55.334,55.644,-15.8318,-2.0698,215.89,102.26,-15.6239,-1.7417,,,0.25529,0
8.2253,3,1,0,1,201.00,129.67,capture,216.53,107.15,27.36,1,179.239,4.229,179.050,-13.16,25.77,145.98,-13.41,-3.72,170.96,54.261,55.222,-15.9684,-2.4069,216.53,107.15,-15.8155,-2.1397,,,0.24486,0
8.3243,3,1,0,1,201.00,129.67,capture,221.39,87.70,46.65,1,179.561,4.274,179.109,-13.12,25.82,146.15,-13.18,-3.71,171.07,54.547,55.984,-14.4840,-2.6585,221.39,87.70,-15.0098,-2.4643,,,0.22503,0
8.4248,3,1,0,1,201.00,129.67,capture,193.99,99.05,31.41,1,179.471,4.244,179.275,-13.10,25.79,145.97,-13.05,-3.80,170.95,56.285,54.820,-16.3495,-3.3399,193.99,99.05,-15.7935,-3.0555,,,0.23576,0
8.5263,3,1,0,1,201.00,129.67,capture,207.39,103.21,27.22,1,-179.984,4.069,179.828,-13.08,25.73,145.60,-13.07,-3.92,170.42,55.530,55.956,-16.4749,-2.1960,207.39,103.21,-16.2272,-2.6622,,,0.23775,0
8.6256,3,1,0,1,201.00,129.67,capture,214.76,69.95,61.28,1,179.979,3.991,179.178,-13.12,25.75,145.06,-12.94,-3.90,170.21,55.597,56.467,-15.3780,-2.0376,214.76,69.95,-15.8315,-2.3178,,,0.22670,0
8.7247,3,1,0,1,201.00,129.67,capture,235.03,79.58,60.56,1,179.318,4.031,179.110,-13.17,25.74,145.29,-13.35,-4.04,170.11,56.134,56.226,-14.9809,-1.7116,235.03,79.58,-15.3156,-1.9489,,,0.23989,0
8.8251,3,1,0,1,201.00,129.67,capture,217.03,82.87,49.47,1,-179.674,3.937,178.721,-13.16,25.77,145.62,-13.29,-3.85,170.42,56.036,54.704,-15.0283,-2.2015,217.03,82.87,-15.1434,-2.0779,,,0.25135,0
8.9263,3,1,0,1,201.00,129.67,capture,208.46,45.00,84.99,1,179.102,3.866,179.714,-13.11,25.72,145.53,-13.21,-3.83,170.20,55.566,55.734,-13.3740,-2.4666,208.46,45.00,-13.8484,-2.2640,,,0.24671,0
9.0268,3,1,0,1,201.00,129.67,capture,198.54,99.10,30.67,1,179.447,3.822,179.542,-13.04,25.69,145.83,-12.84,-3.98,170.73,56.196,55.430,-15.7734,-2.4108,198.54,99.10,-14.8980,-2.3366,,,0.25447,0
9.1269,4,0,0,0,67.00,129.67,dwell,193.81,108.89,128.50,0,-179.764,3.755,179.451,-13.13,25.69,145.62,-13.23,-3.87,170.42,55.580,55.398,-16.9995,-3.0173,193.81,108.89,-16.4478,-2.7414,,,0.23804,0
9.2279,4,0,0,0,67.00,129.67,dwell,210.89,130.77,143.90,0,179.535,3.626,179.815,-13.07,25.75,145.53,-13.08,-3.64,170.20,55.163,55.658,-16.8679,-2.2446,210.89,130.77,-16.7439,-2.5241,,,0.25082,0
9.3267,4,0,0,0,67.00,129.67,dwell,198.20,134.49,131.28,0,179.955,3.682,179.819,-13.04,25.73,145.54,-13.29,-3.72,170.27,55.535,57.091,-16.7487,-4.0176,198.20,134.49,-16.7469,-3.5218,,,0.25330,0
9.4266,4,0,0,0,67.00,129.67,dwell,203.01,164.63,140.43,0,179.743,3.835,179.225,-12.95,25.70,145.62,-12.93,-3.83,170.48,55.123,55.495,-18.1484,-1.5150,203.01,164.63,-17.7541,-2.2672,,,0.25770,0
9.5278,4,0,0,0,67.00,129.67,dwell,199.74,80.00,141.73,0,179.684,3.838,179.178,-13.03,25.73,145.71,-13.07,-3.83,170.55,54.746,56.167,-15.2390,-2.1446,199.74,80.00,-16.1380,-2.1950,,,0.24137,0
9.6296,4,0,0,0,67.00,129.67,dwell,183.40,141.11,116.96,0,-179.998,3.915,179.377,-13.13,25.81,145.76,-13.07,-3.86,170.53,55.941,56.581,-17.1323,-3.5519,183.40,141.11,-16.6316,-3.0134,,,0.25312,0
9.7283,4,0,0,0,67.00,129.67,dwell,181.84,139.54,115.27,0,179.155,3.858,179.077,-13.08,25.85,145.69,-13.25,-3.81,170.71,54.921,56.002,-17.0095,-3.5173,181.84,139.54,-16.8372,-3.3249,,,0.26175,0
9.8303,4,0,0,0,67.00,129.67,dwell,169.42,129.34,102.42,0,179.855,3.812,179.492,-13.03,25.88,145.30,-12.91,-3.59,170.32,55.565,56.131,-16.7207,-4.9457,169.42,129.34,-16.7804,-4.5090,,,0.24687,0
9.9297,4,0,0,0,67.00,129.67,dwell,181.42,155.15,117.22,0,179.834,3.600,179.369,-13.08,25.93,145.30,-13.14,-3.42,170.05,56.033,55.960,-17.9917,-3.7838,181.42,155.15,-17.5716,-4.0989,,,0.25163,0
10.0266,4,0,0,0,67.00,129.67,dwell,156.74,115.35,90.87,0,179.833,3.785,179.161,-13.13,25.99,145.36,-12.95,-3.46,169.94,55.761,55.694,-16.7065,-4.9572,156.74,115.35,-17.1970,-4.6484,,,0.23279,0
10.1265,4,0,0,0,67.00,129.67,dwell,161.00,161.71,99.31,0,179.998,3.811,179.438,-13.10,26.01,144.68,-13.00,-3.44,169.27,56.656,55.784,-17.1775,-4.1352,161.00,161.71,-17.1884,-4.3941,,,0.24324,0
